timestamp,sample,hub_model,hub_serial,device,port,cycle,status,speed_code,speed_label,notes
2026-05-17T02:10:27.697681,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,41,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:10:36.953215,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,42,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:10:46.487588,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,43,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:10:55.971878,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,44,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:11:05.211104,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,45,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:11:14.739101,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,46,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:11:24.246112,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,47,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:11:33.803791,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,48,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:11:43.335997,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,49,PASS,4,SuperSpeed+ (10 Gbps),
2026-05-17T02:11:52.859840,u420_010_ramsey,USBHub3p (model 19),0xb72d5b42,data,upstream,50,PASS,4,SuperSpeed+ (10 Gbps),
