timestamp,sample,hub_model,hub_serial,device,port,cycle,status,speed_code,speed_label,notes
2026-05-15T17:52:13.578541,u420_010_sample_1,USBHub3c (model 24),0x68d1a7be,control,0,1,PASS,3,SuperSpeed (5 Gbps),
2026-05-15T17:52:22.835488,u420_010_sample_1,USBHub3c (model 24),0x68d1a7be,control,0,2,PASS,3,SuperSpeed (5 Gbps),
2026-05-15T17:52:32.082885,u420_010_sample_1,USBHub3c (model 24),0x68d1a7be,control,0,3,PASS,3,SuperSpeed (5 Gbps),
2026-05-15T17:52:41.329705,u420_010_sample_1,USBHub3c (model 24),0x68d1a7be,control,0,4,PASS,3,SuperSpeed (5 Gbps),
2026-05-15T17:52:50.578195,u420_010_sample_1,USBHub3c (model 24),0x68d1a7be,control,0,5,PASS,3,SuperSpeed (5 Gbps),
2026-05-15T17:52:59.830957,u420_010_sample_1,USBHub3c (model 24),0x68d1a7be,control,0,6,PASS,3,SuperSpeed (5 Gbps),
2026-05-15T17:53:09.196730,u420_010_sample_1,USBHub3c (model 24),0x68d1a7be,control,0,7,PASS,3,SuperSpeed (5 Gbps),
2026-05-15T17:53:18.587966,u420_010_sample_1,USBHub3c (model 24),0x68d1a7be,control,0,8,PASS,3,SuperSpeed (5 Gbps),
2026-05-15T17:53:27.834803,u420_010_sample_1,USBHub3c (model 24),0x68d1a7be,control,0,9,PASS,3,SuperSpeed (5 Gbps),
2026-05-15T17:53:37.084643,u420_010_sample_1,USBHub3c (model 24),0x68d1a7be,control,0,10,PASS,3,SuperSpeed (5 Gbps),
2026-05-15T17:53:46.337631,u420_010_sample_1,USBHub3c (model 24),0x68d1a7be,control,0,11,PASS,3,SuperSpeed (5 Gbps),
2026-05-15T17:53:55.584853,u420_010_sample_1,USBHub3c (model 24),0x68d1a7be,control,0,12,PASS,3,SuperSpeed (5 Gbps),
2026-05-15T17:54:04.835224,u420_010_sample_1,USBHub3c (model 24),0x68d1a7be,control,0,13,PASS,3,SuperSpeed (5 Gbps),
2026-05-15T17:54:14.092068,u420_010_sample_1,USBHub3c (model 24),0x68d1a7be,control,0,14,PASS,3,SuperSpeed (5 Gbps),
2026-05-15T17:54:23.331707,u420_010_sample_1,USBHub3c (model 24),0x68d1a7be,control,0,15,PASS,3,SuperSpeed (5 Gbps),
2026-05-15T17:54:32.580420,u420_010_sample_1,USBHub3c (model 24),0x68d1a7be,control,0,16,PASS,3,SuperSpeed (5 Gbps),
2026-05-15T17:54:41.824566,u420_010_sample_1,USBHub3c (model 24),0x68d1a7be,control,0,17,PASS,3,SuperSpeed (5 Gbps),
